date,high,open,low,close,volume,mav1,mav2,mav3,DiffBB,sameline
1542888000,1.32426,1.32386,1.32134,1.3215,9739,1.3232059999999999,1.326105,1.3214284,0.04147180566043174,1
1542902400,1.32354,1.32149,1.32001,1.32062,8840,1.32245,1.325033,1.3215448,0.041313330212443766,1
1542916800,1.3208,1.32062,1.31805,1.31822,7906,1.321444,1.323806,1.3216487999999997,0.04115525086707761,1
1542931200,1.31985,1.31822,1.31821,1.31924,2279,1.320688,1.3229060000000001,1.3218212,0.04066674113316582,1
1542945600,1.32086,1.31927,1.31892,1.31948,4384,1.319812,1.322091,1.3219628,0.039994756528753506,1
1542960000,1.32196,1.31948,1.31932,1.32192,7465,1.319896,1.321551,1.3221884,0.039793969529863915,1
1542974400,1.32398,1.32191,1.32136,1.32291,9940,1.320354,1.3214020000000002,1.3224884000000001,0.039519153882484837,1
1542988800,1.32575,1.32291,1.31859,1.32261,18883,1.321232,1.321338,1.3227035999999999,0.038591802213299164,1
1543003200,1.32384,1.32259,1.31863,1.32326,19276,1.3220360000000002,1.321362,1.322888,0.03732132769073537,1
1543017600,1.32373,1.32321,1.32225,1.32301,1457,1.322742,1.3212769999999998,1.3231064000000001,0.03626117632421044,1
1543190400,1.3229,1.32217,1.32194,1.32235,4922,1.3228280000000001,1.321362,1.3233144,0.03518158609144573,1
1543204800,1.32258,1.32235,1.3209,1.32096,5474,1.322438,1.321396,1.3234608,0.03368675171768887,1
1543219200,1.3213,1.32096,1.31864,1.31919,8763,1.3217539999999999,1.3214929999999998,1.3235656,0.033129665310535295,1
1543233600,1.32145,1.31919,1.31861,1.32144,8581,1.3213899999999998,1.3217130000000001,1.3236511999999998,0.03265289862195564,1
1543248000,1.32431,1.32144,1.32037,1.32362,14537,1.3215119999999998,1.322127,1.323618,0.031756716120541206,1
1543262400,1.32556,1.32362,1.3235,1.32551,8930,1.322144,1.322486,1.3234156,0.030783196011652247,1
1543276800,1.32602,1.32551,1.32459,1.32519,4608,1.32299,1.322714,1.3231696,0.0296268857069375,1
1543291200,1.32649,1.32519,1.32515,1.32545,4620,1.3242420000000001,1.322998,1.322968,0.02791001962222106,1
1543305600,1.32737,1.32545,1.32352,1.32646,11230,1.3252460000000001,1.323318,1.3228968,0.027385550882755183,1
1543320000,1.32658,1.32646,1.32396,1.32428,11082,1.3253780000000002,1.323445,1.3227627999999998,0.027379373928053674,1
1543334400,1.33125,1.32428,1.32424,1.33125,16331,1.3265259999999999,1.324335,1.32292,0.027759714594954854,1
1543348800,1.33272,1.33126,1.3289,1.32932,14590,1.3273519999999999,1.325171,1.3231168,0.02670722249212565,1
1543363200,1.33064,1.32931,1.32899,1.33059,4636,1.32838,1.326311,1.3234104,0.026762295657810853,1
1543377600,1.33079,1.33057,1.32971,1.33043,4166,1.3291739999999999,1.32721,1.3237067999999999,0.027725321873948605,1
1543392000,1.33308,1.33043,1.32997,1.33214,5871,1.330746,1.3280619999999999,1.3240380000000003,0.029757013814814215,1
1543406400,1.33276,1.33217,1.33075,1.33178,8817,1.330852,1.328689,1.3244491999999999,0.03148704315758,1
1543420800,1.33589,1.33178,1.33129,1.33281,16957,1.33155,1.3294510000000002,1.3249368,0.03388488542316148,1
1543435200,1.33284,1.33281,1.32411,1.3266,23754,1.330752,1.3295660000000002,1.325272,0.03396047422469417,1
1543449600,1.32826,1.32661,1.32656,1.32806,4842,1.330278,1.329726,1.3256248,0.034228637494627456,1
1543464000,1.3286,1.32805,1.32647,1.32674,7334,1.329198,1.3299720000000002,1.3259152,0.03431209554371106,1
1543478400,1.32815,1.32674,1.32524,1.32793,8649,1.3284280000000002,1.32964,1.3261556,0.03419188164588105,1
1543492800,1.33119,1.32793,1.32687,1.3278,11195,1.327426,1.329488,1.3263512,0.03371493042028506,1
1543507200,1.32904,1.32779,1.32555,1.32768,20673,1.327642,1.3291970000000002,1.3265540000000002,0.032091009546360905,1
1543521600,1.32854,1.32768,1.32579,1.32807,12677,1.327644,1.328961,1.3267464000000002,0.0307519426827354,1
1543536000,1.32883,1.32805,1.32704,1.32833,4199,1.327962,1.32858,1.3269592000000001,0.02931886234333181,1
1543550400,1.3289,1.32833,1.32796,1.32886,5404,1.328148,1.3282880000000001,1.3272196,0.028801307887037275,1
1543564800,1.33061,1.32886,1.3283,1.32958,7373,1.3285040000000001,1.327965,1.3275644,0.028619896622291918,1
1543579200,1.33198,1.32958,1.32951,1.32994,9977,1.328956,1.3282990000000001,1.3279944000000001,0.0283032226410036,1
1543593600,1.33324,1.32995,1.32793,1.32835,23459,1.329012,1.328328,1.3282707999999999,0.027809087870481086,1
1543608000,1.33064,1.32835,1.32782,1.32857,14675,1.32906,1.328511,1.3284688,0.027172301784725406,1
1543622400,1.32978,1.32857,1.32843,1.32895,1082,1.329078,1.328613,1.3286064000000002,0.02620670665946978,1
1543795200,1.3267,1.3235,1.3235,1.3261,4055,1.328382,1.3284429999999998,1.3286428000000001,0.02437448464115244,1
1543809600,1.3262,1.3261,1.32072,1.3212,7513,1.3266339999999999,1.327795,1.3284728,0.022961491559244873,1
1543824000,1.32123,1.3212,1.31592,1.31665,9166,1.324294,1.3266529999999999,1.3280804000000002,0.026645027172363278,1
1543838400,1.32001,1.31664,1.31663,1.31906,10369,1.322392,1.325726,1.3278716,0.028889153958954417,1
1543852800,1.31942,1.31906,1.31624,1.31905,21790,1.320412,1.324745,1.3273836,0.03129052778570118,1
1543867200,1.32187,1.31905,1.31809,1.32097,15944,1.319386,1.323884,1.3270496,0.03248514312805462,1
1543881600,1.32108,1.32096,1.31908,1.31999,5216,1.319144,1.322889,1.3266255999999998,0.03403889637046209,1
1543896000,1.32008,1.31999,1.31733,1.31761,9155,1.319336,1.3218150000000002,1.3261128,0.036655489271118835,1
1543910400,1.31829,1.31761,1.31678,1.31705,10246,1.318934,1.3206630000000001,1.3255092,0.039114058640854044,1
1543924800,1.31824,1.31706,1.3163,1.31711,11377,1.318546,1.319479,1.3249223999999997,0.04065255810931445,1
1543939200,1.32123,1.31711,1.31708,1.32013,20539,1.318378,1.3188819999999999,1.3244152,0.041164444962939584,1
1543953600,1.32573,1.32014,1.31985,1.3253,20492,1.3194400000000002,1.319292,1.3243631999999999,0.04046975146155063,1
1543968000,1.32717,1.32529,1.32467,1.32682,6732,1.321282,1.320309,1.3243136000000002,0.039823382121431106,1
1543982400,1.3286,1.32682,1.32666,1.3285,5297,1.323572,1.321253,1.324384,0.03878656849997464,1
1543996800,1.32914,1.3285,1.32791,1.32848,8474,1.3258459999999999,1.322196,1.3244060000000002,0.03783635461412649,1
1544011200,1.32941,1.32848,1.32708,1.32731,8706,1.3272819999999999,1.3228300000000002,1.3243863999999999,0.03617155842000486,1
1544025600,1.33984,1.32731,1.32709,1.33819,20036,1.32986,1.3246499999999999,1.3248068000000002,0.04101550083099159,1
1544040000,1.33878,1.33818,1.33611,1.33782,10059,1.33206,1.326671,1.3251967999999998,0.04478029484436519,1
1544054400,1.33874,1.3379,1.33527,1.33831,4563,1.334022,1.328797,1.325596,0.04846474999992667,1
1544068800,1.34034,1.33831,1.33831,1.33892,5457,1.3361100000000001,1.330978,1.3259984,0.051967150719804955,1
1544083200,1.34253,1.33892,1.33887,1.34125,10915,1.338898,1.33309,1.3264652000000001,0.05632223643600742,1
1544097600,1.34438,1.34125,1.34113,1.34185,16857,1.33963,1.334745,1.3269416,0.060458824729964,1
1544112000,1.34397,1.34186,1.33915,1.34168,30394,1.3404019999999999,1.3362310000000002,1.3274748,0.06401599920641221,1
1544126400,1.34186,1.34167,1.33691,1.33694,15631,1.340128,1.337075,1.3278096,0.06541376221262096,1
1544140800,1.33963,1.33696,1.33684,1.33884,3961,1.340112,1.338111,1.3282052000000002,0.06729436046057646,1
